numberOfData, addingTime, findingTime, deletingTime
329, 100, 2500, 2100
330, 100, 2400, 3600
331, 100, 2200, 2500
332, 100, 3500, 2400
333, 200, 5500, 4900
334, 100, 3700, 2700
335, 200, 3000, 3200
336, 100, 3500, 3200
337, 100, 2500, 2400
338, 200, 2400, 3000
339, 100, 2900, 3300
340, 100, 2400, 2300
341, 200, 3900, 2200
342, 100, 2400, 3400
343, 0, 3200, 3100
344, 200, 3000, 2200
345, 100, 2300, 3800
346, 0, 2800, 35000
347, 300, 9500, 6300
348, 100, 4600, 152000
349, 200, 29700, 3300
350, 100, 3100, 2400
351, 100, 2500, 2900
352, 100, 2200, 1800
353, 100, 3000, 1900
354, 100, 2100, 3400
355, 100, 2100, 1900
356, 200, 4700, 2800
357, 100, 2800, 3300
358, 100, 3000, 2100
359, 100, 2200, 2100
360, 0, 2200, 3000
361, 200, 3500, 2000
362, 100, 2300, 1900
363, 200, 3400, 2800
364, 100, 2000, 1900
365, 0, 2000, 1800
366, 100, 2000, 2800
367, 100, 2300, 2000
368, 100, 2100, 1900
369, 100, 2500, 3000
370, 0, 2000, 1900
371, 200, 2000, 2100
372, 200, 2100, 2900
373, 100, 2300, 2000
374, 100, 2100, 2200
375, 100, 2400, 2900
376, 100, 2300, 2000
377, 100, 2200, 3400
378, 100, 2200, 3100
379, 200, 5100, 2500
380, 200, 3100, 2200
381, 100, 2300, 2000
382, 0, 3100, 2000
383, 100, 11200, 3100
384, 100, 8400, 6800
385, 200, 3000, 1800
386, 100, 1900, 2600
387, 100, 2000, 1700
388, 100, 3200, 2200
389, 100, 1900, 1700
390, 100, 1900, 1800
391, 100, 2700, 2000
392, 100, 1800, 1800
393, 100, 2000, 2100
394, 100, 2700, 1800
395, 100, 1800, 2000
396, 100, 1900, 1900
397, 100, 2800, 1800
398, 100, 2000, 1800
399, 100, 1900, 1700
400, 100, 3600, 1800
401, 200, 2600, 1700
402, 200, 4400, 2800
403, 100, 3300, 2000
404, 100, 1900, 1700
405, 0, 1900, 1700
406, 100, 2900, 2300
407, 100, 1800, 2100
408, 100, 2000, 1800
409, 100, 2800, 2000
410, 100, 1900, 1700
411, 100, 2100, 1800
412, 100, 2700, 1900
413, 100, 2000, 2400
414, 100, 2100, 1800
415, 100, 3200, 1900
416, 100, 2000, 1700
417, 100, 1900, 1800
418, 100, 2900, 1800
419, 0, 1800, 1800
420, 0, 2100, 2000
421, 0, 3400, 1900
422, 100, 3200, 2900
423, 100, 2200, 1800
424, 200, 2800, 1800
425, 200, 8100, 3400
426, 200, 2400, 3700
427, 100, 1900, 1800
428, 100, 2700, 2700
429, 200, 1800, 1600
430, 100, 1700, 1600
431, 100, 1900, 2500
432, 0, 1700, 1800
433, 100, 2100, 1500
434, 100, 1700, 2800
435, 100, 1800, 1700
436, 100, 1800, 1500
437, 100, 1700, 2700
438, 0, 10600, 1700
439, 100, 1700, 1600
440, 100, 3000, 2700
441, 0, 1800, 1800
442, 100, 2000, 1500
443, 100, 1800, 2500
444, 100, 1700, 1700
445, 100, 1800, 1700
446, 0, 1700, 2600
447, 100, 1800, 2400
448, 100, 3900, 6300
449, 200, 2500, 3200
450, 200, 2300, 2200
451, 100, 1800, 1700
452, 100, 1700, 2400
453, 100, 2900, 1700
454, 100, 2000, 1600
455, 100, 1900, 2600
456, 100, 1800, 1600
457, 0, 1700, 1600
458, 100, 2000, 2400
459, 100, 1800, 1600
460, 100, 1900, 1600
461, 100, 1800, 2500
462, 100, 1800, 1800
463, 100, 1700, 1500
464, 100, 8200, 2200
465, 100, 1800, 1700
466, 200, 1900, 4300
467, 3100, 26600, 3800
468, 200, 3100, 1900
469, 300, 2400, 1700
470, 100, 2000, 2500
471, 300, 4700, 2400
472, 200, 2400, 1900
473, 100, 3700, 2200
474, 100, 1800, 2900
475, 100, 1800, 1500
476, 100, 2800, 1800
477, 100, 1700, 1600
478, 100, 1700, 1600
479, 100, 2600, 1600
480, 100, 1800, 1600
481, 100, 1800, 1600
482, 100, 2700, 1600
483, 100, 1700, 1700
484, 0, 1800, 1700
485, 100, 3300, 1600
486, 100, 2400, 1600
487, 100, 1700, 1700
488, 100, 11400, 25900
489, 300, 5300, 2600
490, 200, 2900, 1900
491, 100, 2900, 1600
492, 100, 1900, 1600
493, 500, 5800, 2100
494, 700, 12500, 3500
495, 200, 3000, 1900
496, 100, 2300, 1700
497, 100, 3100, 1800
498, 100, 1800, 1700
499, 100, 1800, 1600
500, 100, 3800, 1800
501, 100, 1800, 1600
502, 100, 1800, 1700
503, 100, 2900, 1600
504, 100, 1800, 1700
505, 100, 2100, 2100
506, 100, 2800, 2100
507, 100, 1700, 1600
508, 100, 1800, 1600
509, 100, 2800, 1600
510, 100, 1700, 1500
511, 100, 2100, 1500
512, 100, 98200, 16800
513, 300, 3100, 2500
514, 100, 2000, 1500
515, 100, 2700, 1600
516, 100, 1600, 1400
517, 600, 10900, 3100
518, 200, 3800, 1700
519, 200, 1900, 1500
520, 100, 1600, 1500
521, 100, 2600, 1500
522, 100, 1700, 1600
523, 100, 1600, 1500
524, 100, 2500, 1500
525, 100, 1500, 1500
526, 100, 1700, 1500
527, 100, 3200, 1500
528, 100, 2300, 1600
529, 200, 2400, 1500
530, 100, 2600, 1800
531, 100, 1600, 1400
532, 0, 1500, 1500
533, 100, 2500, 1500
534, 0, 1500, 1500
535, 100, 1800, 1500
536, 100, 2600, 1400
537, 100, 1600, 14900
538, 100, 1700, 1400
539, 100, 1600, 1800
540, 200, 3300, 2800
541, 100, 1800, 2000
542, 100, 1700, 1400
543, 100, 1600, 2300
544, 100, 1600, 1500
545, 100, 1500, 1400
546, 0, 1500, 2500
547, 100, 1700, 1500
548, 100, 1500, 1500
549, 100, 1600, 2600
550, 100, 1500, 1500
551, 100, 1700, 1500
552, 100, 1600, 2400
553, 100, 1500, 1400
554, 100, 1700, 1500
555, 100, 1500, 2400
556, 100, 1600, 1400
557, 100, 1500, 1500
558, 100, 1600, 2400
559, 100, 1600, 1400
560, 100, 1600, 1400
561, 100, 1600, 2400
562, 100, 1500, 1400
563, 200, 2900, 1500
564, 200, 2100, 3500
565, 100, 1600, 1400
566, 100, 1500, 1400
567, 100, 1600, 2300
568, 100, 1800, 1400
569, 100, 1600, 1800
570, 100, 1700, 2600
571, 0, 1500, 1500
572, 0, 1500, 1400
573, 100, 1600, 2500
574, 100, 1600, 1500
575, 100, 1600, 1400
576, 100, 1600, 6500
577, 100, 1700, 13600
578, 700, 10400, 2700
579, 200, 2200, 3100
580, 100, 1900, 1500
581, 100, 1600, 2200
582, 100, 1600, 2500
583, 100, 1500, 1500
584, 100, 1700, 1400
585, 100, 1700, 2600
586, 200, 3300, 1800
587, 200, 2700, 2200
588, 100, 3000, 1600
589, 100, 1700, 1400
590, 100, 1600, 1500
591, 100, 2900, 1900
592, 100, 2200, 1500
593, 0, 1600, 1400
594, 100, 2600, 2100
595, 100, 1800, 1500
596, 100, 1700, 1500
597, 100, 2400, 1500
598, 100, 1600, 1500
599, 100, 1600, 1600
600, 100, 2500, 1500
601, 100, 1500, 1900
602, 100, 1700, 1500
603, 100, 2500, 1700
604, 100, 1500, 1500
605, 100, 1700, 1400
606, 200, 2500, 1500
607, 100, 1600, 1400
608, 100, 1700, 1600
609, 300, 4100, 1800
610, 100, 1700, 2300
611, 100, 2000, 1500
612, 100, 1700, 1400
613, 100, 29500, 3800
614, 100, 1600, 1500
615, 100, 1700, 1500
616, 100, 1600, 2300
617, 100, 1600, 1300
618, 100, 2600, 1400
619, 100, 1600, 2400
620, 0, 2000, 1900
621, 100, 2700, 1500
622, 100, 1600, 2300
623, 100, 1600, 1300
624, 100, 2400, 1400
625, 0, 1900, 2300
626, 100, 1600, 1500
627, 100, 2500, 1400
628, 100, 1900, 2200
629, 100, 1500, 1400
630, 100, 2300, 1500
631, 100, 1500, 2300
632, 200, 4000, 2000
633, 200, 2600, 2000
634, 100, 1700, 2500
635, 100, 1700, 1500
636, 0, 1800, 1400
637, 100, 1800, 2200
638, 100, 1600, 1500
639, 100, 1500, 1400
640, 100, 2000, 6200
641, 100, 1700, 1500
642, 100, 1700, 1500
643, 200, 2500, 2400
644, 100, 1500, 1400
645, 200, 2800, 1600
646, 100, 1700, 2300
647, 0, 1600, 1500
648, 100, 1600, 1400
649, 100, 1500, 2800
650, 100, 2100, 1400
651, 100, 1700, 1400
652, 100, 1500, 2400
653, 100, 1600, 1500
654, 100, 1600, 1500
655, 200, 3100, 2800
656, 100, 2500, 1500
657, 100, 1600, 1400
658, 100, 1700, 2700
659, 100, 1600, 1400
660, 0, 1700, 1600
661, 0, 1500, 2400
662, 100, 1700, 1500
663, 100, 1800, 1600
664, 100, 1900, 2400
665, 100, 1500, 1900
666, 100, 1600, 1500
667, 100, 1700, 2500
668, 0, 1600, 1600
669, 100, 1800, 1900
670, 100, 1600, 2800
671, 100, 2000, 1400
672, 100, 1600, 1500
673, 100, 1800, 2600
674, 900, 12400, 5100
675, 200, 2400, 1600
676, 200, 1900, 2400
677, 100, 6400, 1600
678, 200, 3200, 1800
679, 100, 1800, 2600
680, 100, 1600, 1400
681, 100, 3600, 3000
682, 100, 1600, 2400
683, 100, 1600, 1400
684, 100, 1900, 1900
685, 100, 1500, 2200
686, 100, 1800, 1400
687, 100, 1600, 1400
688, 100, 1600, 2300
689, 100, 1500, 1300
690, 100, 1500, 1400
691, 100, 1500, 2300
692, 100, 1600, 2400
693, 100, 1600, 1400
694, 100, 1500, 2300
695, 100, 1500, 1400
696, 0, 2200, 1500
697, 100, 1600, 2600
698, 0, 1500, 1300
699, 0, 1600, 1400
